Fecha,Dia,Ciudad,Bloque,Hora,Actividad,Lugar,Transporte,Tipo,Reserva,Notas
2027-05-19,1,En tránsito,Tarde,14:00,Cruzar a San Diego y CBX a Tijuana,Cross Border Xpress Otay Mesa,CBX shuttle desde San Diego,Tránsito,No,Llevar pasaportes; reservar CBX online (~$30 USD/persona); llegar con tiempo al cruce
2027-05-19,1,En tránsito,Noche,22:00,Vuelo TIJ hacia PEK (Hainan Airlines),Aeropuerto Internacional de Tijuana (TIJ),Vuelo internacional,Vuelo,Sí — comprar con anticipación,~13h sin escala; reservar Premium Economy por las espaldas; hora real en fechas.config.json
2027-05-20,2,En tránsito,Mañana,—,En vuelo cruzando la línea de fecha,Hainan Airlines — en vuelo,Sin transporte (en vuelo),Vuelo,—,El día 20 se pierde al cruzar la línea internacional de cambio de fecha; aterrizaje técnico en madrugada del 21
2027-05-21,3,Beijing,Mañana,05:00,Llegada PEK y traslado al hotel,Aeropuerto Internacional Capital de Beijing (PEK),Traslado privado pre-reservado (aeropuerto al hotel; ~45 min),Llegada,Sí — pre-reservar traslado,Llegada en madrugada; solicitar early check-in; no tomar metro con maletas grandes y jet lag severo
2027-05-21,3,Beijing,Mañana,09:00,Check-in y descanso total — día de ajuste,Citadines Apart'hotel Central Beijing,—,Descanso,—,Jet lag ~15h; no planear ninguna actividad; descanso absoluto; baño caliente para la espalda
2027-05-21,3,Beijing,Noche,19:00,Cena suave cerca del hotel,Pang Mei Noodles o restaurante cercano al hotel en L1/L2,Metro L1 o a pie,Comida,No,Fideos qing dan (sin picante); explorar la cuadra con calma; regresar temprano a dormir; no caminar más de 15 min del hotel
2027-05-22,4,Beijing,Mañana,08:30,Ciudad Prohibida — Palacio Imperial (zona central y este),Ciudad Prohibida (Gugong) — entrar por Tian'anmen y salir por Shenwumen norte,Metro L1 Tian'anmen East (salida A — entrada este de la Ciudad Prohibida),Turismo,Sí — entrada online obligatoria con semanas de anticipación,Solicitar silla de ruedas en la entrada (gratis); ruta recomendada: eje central norte-sur; evitar subir al muro exterior; 2.5-3h de recorrido sin prisas
2027-05-22,4,Beijing,Almuerzo,12:30,Almuerzo en TRB Forbidden City — junto a la Ciudad Prohibida,TRB Forbidden City (Templo de la Sabiduría — frente a la CF),A pie desde salida norte de la Ciudad Prohibida (~5 min),Comida,Sí — reservar 1 semana antes,Cocina continental europea con vistas únicas; mismo barrio que la mañana — cero traslado; perfecta combinación con la visita matutina
2027-05-22,4,Beijing,Tarde,15:00,Descanso en hotel — reposo de espalda,Citadines Apart'hotel Central Beijing,Metro L1 Tian'anmen East (directo al hotel),Descanso,—,Regresar directo desde el almuerzo; reposo para la espalda; compresas de calor si hace falta; no salir en la tarde
2027-05-22,4,Beijing,Noche,19:30,Cena de Pato Pekinés — Quanjude Qianmen,Quanjude Qianmen (L2 Qianmen — mismo eje sur del hotel),Metro L2 Qianmen (misma línea que el hotel; 1 parada),Comida,Sí — reservar 1-2 días antes,Mismo eje geográfico que la mañana (Dongcheng/Qianmen); pedir sin guarniciones picantes; ritual del pato ~1.5h; regresar en metro L2 directamente al hotel
2027-05-23,5,Beijing,Mañana,07:00,Gran Muralla — Sección Mutianyu con telecabina (salida muy temprana),Gran Muralla de China — Mutianyu (Huairou),Auto privado pre-reservado (salida 07:00 del hotel; ~1.5h),Turismo,Sí — reservar auto privado con anticipación,Salida muy temprana para menos gente y fresquito; telecabina de subida obligatoria por la espalda; tobogán de bajada opcional; 2h en la muralla máximo; el auto espera
2027-05-23,5,Beijing,Almuerzo,13:00,Almuerzo en ruta de regreso — zona Mutianyu o en ruta,Restaurante de carretera camino de vuelta al hotel (el driver conoce opciones),Auto privado (el mismo que llevó a la muralla),Comida,No,El driver puede recomendar un restaurante local en ruta; sin necesidad de volver al centro para comer
2027-05-23,5,Beijing,Tarde,15:30,Regreso y descanso en hotel,Citadines Apart'hotel Central Beijing,Auto privado (regreso incluido en reserva),Descanso,—,Día más físico de Beijing; descanso total; masaje si el hotel lo ofrece; nada de actividades extra
2027-05-23,5,Beijing,Noche,19:30,Cena ligera en hotel o delivery,Citadines Apart'hotel Central Beijing — cocina propia o delivery,—,Comida,No,Usar cocina del apart-hotel o pedir delivery; noche de recuperación; nada de salir
2027-05-24,6,Beijing,Mañana,09:00,Universal Studios Beijing — apertura y atracciones (zona norte: The Wizarding World / Transformers),Universal Studios Beijing — empezar por atracciones al norte del parque,DiDi o Metro L7 Universal Resort (llegar 30 min antes de apertura),Parque,Sí — Express Pass y silla de ruedas,Comprar Express Pass en Trip.com o Klook (NO la app oficial); llevar pasaporte; silla de ruedas gratis en la entrada; strategy: ir primero a las atracciones del lado norte antes de que se llene
2027-05-24,6,Beijing,Tarde,13:00,Universal Studios Beijing — zona sur y desfiles (Hollywood/Kung Fu Panda/Minions),Universal Studios Beijing — recorrido por zonas restantes,Dentro del parque,Parque,—,Ritmo pausado; usar Express Pass para evitar filas largas; descansar entre atracciones en bancas y cafés; almuerzo dentro del parque; comer a las 13:00 cuando hay menos fila en restaurantes
2027-05-24,6,Beijing,Noche,19:00,Cena y descanso (opción noche en Universal Resort Hotel),Universal Studios Resort Hotel Beijing o regreso al hotel central,Metro L7 o DiDi,Comida,No,Opción: quedarse 1 noche en Universal Resort Hotel para entrar tempranísimo al día siguiente con ventaja sobre visitantes externos
2027-05-25,7,Beijing,Mañana,08:00,Templo del Cielo — Tiantan Park (misma zona sur de Beijing),Templo del Cielo — entrar por la puerta este (Tiantan Dongmen),Metro L5 Tiantandongmen East (salida A — entrada este del parque),Turismo,No (entrada online recomendada),Terreno plano con jardines amplios; ver tai chi local a las 8am en los parques circundantes; amplia zona sombreada; 1.5-2h de recorrido cómodo; quedarse en la zona sur de Beijing para el resto del día
2027-05-25,7,Beijing,Almuerzo,10:30,Almuerzo temprano en Lost Heaven (zona Dongcheng/sur) — cocina Yunnan,Lost Heaven — cercano al eje Templo del Cielo / Dongcheng,DiDi desde Templo del Cielo (~15 min; misma zona sur),Comida,No para almuerzo,Cocina Yunnan suave; misma zona geográfica sur/Dongcheng; comer temprano (10:30-11:00) para evitar espera; aprovechar que están en el mismo cuadrante de la ciudad
2027-05-25,7,Beijing,Tarde,13:00,Regreso al hotel y preparativos para Xi'an,Citadines Apart'hotel Central Beijing,Metro L5 desde Tiantan Dongmen → transbordo a L1 hacia el hotel,Descanso,—,Última tarde completa en Beijing; dejar maletas listas para mañana; confirmar reserva del tren bala; no hacer más actividades
2027-05-25,7,Beijing,Noche,19:30,Hutongs de Nanluoguxiang — paseo nocturno (último paseo en Beijing),Hutongs de Nanluoguxiang — callejuelas históricas de Dongcheng,Metro L6 Nanluoguxiang (salida sur) — o DiDi si están cansados,Turismo,No,Callejuelas históricas planas; ambiente barrial auténtico; rickshaw disponible para recorrer más sin caminar; muy fotogénico por la noche; solo si tienen energía — opcional si están cansados del viaje
