Ciudad,Dia,Restaurante,Cocina,Michelin,Reserva,Anticipacion_reserva,Momento,Picante,Apto_sin_pescado,Metro,Notas
Beijing,3,Pang Mei Noodles (胖妹面庄),Fideos de Chongqing — versión suave disponible,Bib Gourmand Michelin 2025,No — sin reserva; mostrador directo,Llegar antes de las 20:30,Cena,Pedir versión qing dan (suave) o sin chile — siempre disponible,Sí,Sanlitun area o Dongcheng (varias sucursales),Fideos tipo Chongqing en caldo rico; pedir versión sin picante (qing dan); muy económico y rápido; perfecto para primera noche con jet lag; cerca del hotel Citadines L1/L2
Beijing,3,Gui Gong Fu,Dim sum y cocina cantonesa en Beijing,Bib Gourmand Michelin 2025,Sí — recomendado vía Dianping,1-2 días antes,Cena,No picante,Sí — dim sum de cerdo y verduras; pedir alternativas si no gustan las gambas,L1 o L5 zona Dongcheng,Dim sum de calidad Bib Gourmand; precio razonable; buena opción para primera noche sin riesgo de picante; ambiente familiar y sin pretensiones
Beijing,3,Tong He Ju,Cocina tradicional de Beijing — clásicos imperiales,Bib Gourmand Michelin 2025,No — sin reserva,Llegar antes de las 19:30,Cena,Baja — cocina tradicional pekingesa,Sí,Xicheng (cerca de Beihai Park) o DiDi,Institución de cocina pekingesa clásica; Zhajiang Mian (fideos con salsa de soja fermentada) excelentes; precio accesible con calidad Bib Gourmand; ambiente local auténtico; perfecta primera noche en Beijing
Beijing,4,TRB Forbidden City,Cocina Continental europea de autor — vistas a la Ciudad Prohibida,1 estrella Michelin 2025,Sí — web trb.cn o Dianping,1 semana antes,Almuerzo,No picante,Sí — menú europeo sin mariscos dominantes,Metro L1 Tian'anmen East + 5 min a pie,Perfecta para almuerzo especial el día de la Ciudad Prohibida; dentro del Templo de la Sabiduría frente a la CF; cocina continental refinada; vistas únicas en Beijing; misma zona que la visita matutina — cero traslado
Beijing,4,Quanjude Qianmen,Pato Pekinés — clásico fundado en 1864,No Michelin — institución histórica nacional,Sí — web oficial quanjude.com.cn o concierge del hotel,1-2 días antes,Cena,No picante,Sí — pato con panqueques y cebollín sin guarniciones picantes,L2 Qianmen,El restaurante más famoso de Beijing para pato; pedir sin guarniciones picantes; precio medio-alto; experiencia completa ~1.5h con el ritual del pato pekinés; misma línea L2 que el hotel — regreso directo
Beijing,4,Da Dong Roast Duck,Pato Pekinés contemporáneo — versión magra y moderna,2 estrellas Michelin 2025,Sí — Dianping o concierge del hotel,5-7 días antes,Cena,No picante,Sí,L10 Tuanjiehu (sucursal Sanlitun también),Versión moderna y estética del pato pekinés; más magro que Quanjude; ambiente elegante con 2 estrellas Michelin; elegir entre Quanjude (tradición) o Da Dong (modernidad y reconocimiento internacional)
Beijing,5,Bao Yuan Jiaozi Wu,Dumplings de colores — jiaozi artesanales multicolor,Michelin Selected 2025,No — sin reserva; llegar temprano,Llegar antes de las 18:30,Cena,Bajo — pedir sin chile,Sí — cerdo y verduras,L13 Chegongzhuang (Haidian) o DiDi,Famoso por sus jiaozi de colores naturales (remolacha roja; espinaca verde); experiencia visual y deliciosa; cena suave perfecta tras día físico en la muralla; porción generosa; económico
Beijing,5,Lost Heaven (迷失天堂),Cocina Yunnan — flores comestibles e ingredientes de montaña,Michelin Selected 2025,No para almuerzo — Sí recomendado para cena,2-3 días antes si van a cenar,Almuerzo o Cena,Baja — cocina Yunnan menos picante; pedir sin chile,Sí — cerdo de montaña y verduras sin mariscos,Courtyard Hotel area / Dongcheng (DiDi),Cocina del suroeste más suave; flores comestibles y hongos silvestres; ambiente bohemio en hutong renovado; versátil para almuerzo en ruta o cena suave tras la muralla
Beijing,5,Maison Boulud Beijing,Bistró francés clásico — Daniel Boulud en Beijing,Michelin Recommended 2025,Sí — maisonbouludbj.com o concierge,3-5 días antes,Cena,No picante,Sí — menú europeo completamente apto,L5 Dongsi o DiDi,Cocina francesa de autor en la antigua legación francesa de Beijing; comfort food europeo perfecto para Roberto tras día de muralla; excelente opción si quieren descansar de la cocina china
Beijing,6,Comptoir de France,Panadería y café francés — croissants y viennoiserie,No Michelin — muy valorado por expatriados,No — sin reserva,Ir antes de las 09:00 para más variedad antes de salir a Universal,Desayuno,No picante,Sí,Sanlitun / Chaoyang,Mejor croissant de Beijing según expatriados; desayuno perfecto antes de un día largo en Universal Studios; llevar algo para el camino; económico y delicioso
Beijing,6,Jing Yaa Tang,Pato Pekinés y cocina clásica de Beijing — hotel boutique,1 estrella Michelin 2025,Sí — vía The Opposite House hotel o OpenTable,5-7 días antes,Cena,No picante,Sí — pedir sin mariscos al reservar,Sanlitun (DiDi recomendado),Cena tranquila en The Opposite House Sanlitun tras el día de Universal; atmósfera elegante e íntima; versión refinada del pato pekinés; buena recompensa tras día de parque; reservar antes del viaje
Beijing,6,King's Joy (京兆尹),Cocina imperial vegetariana de Beijing — alta gastronomía,3 estrellas Michelin 2025 (única en Beijing),Sí — URGENTE: reservar vía concierge del hotel o WeChat oficial,4-6 semanas antes — reservar al mismo tiempo que los vuelos,Cena especial,No picante,Sí — 100% vegetariano sin mariscos,Cerca de Yonghegong (DiDi recomendado),El único restaurante con 3 estrellas Michelin en Beijing; cocina budista imperial vegetariana sofisticada; jardín imperial; experiencia gastronómica cumbre del viaje en Beijing; reservar con urgencia extrema
Beijing,7,Lost Heaven (迷失天堂),Cocina Yunnan — flores comestibles e ingredientes de montaña,Michelin Selected 2025,No — sin reserva para almuerzo,Llegar antes de las 11:30 o después de las 14:00,Almuerzo,Baja — cocina Yunnan; pedir sin chile,Sí — cerdo de montaña y verduras sin mariscos,Dongcheng (misma zona sur — cerca del Templo del Cielo; DiDi ~15 min),Almuerzo ideal en la misma zona sur de Beijing tras el Templo del Cielo; cocina suave y elegante; ambiente bohemio en hutong renovado; sin reserva para el almuerzo
Beijing,7,King's Joy (京兆尹),Cocina imperial vegetariana de Beijing — alta gastronomía,3 estrellas Michelin 2025 (única en Beijing),Sí — URGENTE: reservar vía concierge del hotel o WeChat oficial,4-6 semanas antes — si no se reservó para el Día 6 usar el Día 7,Cena,No picante,Sí — 100% vegetariano,Cerca de Yonghegong (DiDi desde Nanluoguxiang ~15 min),El único 3★ Michelin en Beijing; última noche en la ciudad — el momento ideal para la cena más especial; de Nanluoguxiang a King's Joy en DiDi son ~15 min
Beijing,7,Jing Yaa Tang,Pato Pekinés y cocina clásica de Beijing — hotel boutique,1 estrella Michelin 2025,Sí — vía The Opposite House hotel o OpenTable,5-7 días antes,Cena,No picante,Sí — pedir sin mariscos al reservar,Sanlitun (DiDi desde Nanluoguxiang ~20 min),Alternativa a King's Joy para la última noche en Beijing; 1★ Michelin; atmósfera íntima y elegante; versión refinada del pato pekinés para cerrar Beijing con broche de oro
Xi'an,8,Barrio Musulmán puestos (Huimin Jie),Cocina callejera Hui y local de Xi'an,No Michelin — mercado callejero auténtico,No — sin reserva,Ir entre 19:00-21:30 para el ambiente más animado,Noche y Snack,Variable — pedir bù là (sin picante) en cada puesto,Sí — elegir puestos con cordero o res; evitar mariscos,L2 Bell Tower / Zhonglou (a pie desde hotel Citadines — 10 min),Primera experiencia auténtica de Xi'an la noche de llegada; Roujiamo (pan con carne de cordero); Liangpi (fideos fríos de arroz); caqui glaseado; indicar siempre bù là; zona completamente plana
Xi'an,8,Laosongjia Muslim Noodles,Cocina musulmana Hui — fideos y cordero desde 1929,No Michelin — popular local,No — sin reserva,Llegar antes de las 20:00,Cena,No picante — cocina Hui es la más suave de China,Sí — cordero y fideos sin mariscos absolutamente,L2 Bell Tower / Zhonglou (dentro del Barrio Musulmán),Biangbiang mian (fideos anchos a mano) excelentes; Roujiamo el mejor de Xi'an; muy económico; dentro del Barrio Musulmán — a pasos del hotel Citadines
